labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
500,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.373,0.294,0.51,5,0.378,0.276,0.598,5,0.329,0.22,0.656,5,0.36,0.022,0.263,0.032,0.588,0.06
520,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.405,0.359,0.463,5,0.408,0.335,0.521,5,0.203,0.33,0.147,5,0.339,0.096,0.341,0.013,0.377,0.164
540,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.425,0.384,0.475,5,0.347,0.216,0.876,5,0.329,0.235,0.552,5,0.367,0.042,0.278,0.075,0.634,0.174
560,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.474,0.36,0.691,4,0.389,0.317,0.502,6,0.366,0.354,0.378,5,0.41,0.046,0.344,0.019,0.524,0.129
580,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.463,0.351,0.68,4,0.382,0.358,0.409,5,0.372,0.301,0.486,5,0.406,0.041,0.337,0.025,0.525,0.114
600,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.431,0.438,0.425,4,0.44,0.422,0.459,5,0.311,0.26,0.386,5,0.394,0.059,0.373,0.08,0.423,0.03
620,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.419,0.315,0.625,4,0.41,0.311,0.598,5,0.355,0.269,0.521,5,0.395,0.028,0.298,0.021,0.581,0.044
640,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.39,0.309,0.529,4,0.386,0.32,0.486,5,0.382,0.364,0.402,5,0.386,0.003,0.331,0.024,0.472,0.053
660,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.473,0.39,0.598,4,0.422,0.299,0.718,5,0.341,0.342,0.34,5,0.412,0.054,0.344,0.037,0.552,0.158
680,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.378,0.267,0.645,4,0.471,0.373,0.637,5,0.381,0.351,0.417,5,0.41,0.043,0.33,0.046,0.566,0.106
700,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.444,0.371,0.552,4,0.42,0.322,0.602,5,0.334,0.336,0.332,5,0.399,0.047,0.343,0.021,0.495,0.117
720,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.477,0.39,0.614,4,0.386,0.254,0.807,5,0.312,0.349,0.282,5,0.392,0.067,0.331,0.057,0.568,0.217
740,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.428,0.352,0.544,4,0.466,0.375,0.618,5,0.437,0.441,0.432,5,0.444,0.016,0.389,0.038,0.531,0.076
760,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.418,0.397,0.44,4,0.436,0.3,0.795,5,0.384,0.354,0.421,5,0.413,0.022,0.35,0.04,0.552,0.172
780,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.402,0.279,0.714,4,0.445,0.363,0.575,5,0.442,0.374,0.541,5,0.43,0.02,0.339,0.042,0.61,0.075
800,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.451,0.347,0.645,4,0.457,0.402,0.529,5,0.364,0.321,0.421,5,0.424,0.042,0.357,0.034,0.532,0.091
820,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.466,0.469,0.463,4,0.436,0.316,0.699,5,0.395,0.375,0.417,5,0.432,0.029,0.387,0.063,0.526,0.124
840,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.452,0.385,0.548,4,0.504,0.494,0.514,5,0.413,0.394,0.432,4,0.456,0.037,0.424,0.049,0.498,0.049
860,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.463,0.413,0.525,4,0.521,0.425,0.672,4,0.473,0.418,0.544,4,0.486,0.025,0.419,0.005,0.58,0.065
880,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.5,0.39,0.695,4,0.476,0.473,0.479,4,0.453,0.458,0.448,4,0.476,0.019,0.44,0.036,0.541,0.11
900,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.473,0.428,0.529,4,0.492,0.378,0.703,4,0.448,0.414,0.486,4,0.471,0.018,0.407,0.021,0.573,0.094
920,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.442,0.42,0.467,4,0.556,0.549,0.564,4,0.402,0.433,0.375,4,0.467,0.065,0.467,0.058,0.469,0.077
940,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.488,0.391,0.649,4,0.511,0.44,0.61,4,0.448,0.468,0.429,4,0.482,0.026,0.433,0.032,0.563,0.096
960,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.408,0.4,0.417,4,0.512,0.551,0.479,4,0.412,0.307,0.625,4,0.444,0.048,0.419,0.101,0.507,0.087
980,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.42,0.444,0.398,4,0.449,0.325,0.726,4,0.467,0.429,0.514,4,0.445,0.019,0.399,0.053,0.546,0.136
1000,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.484,0.395,0.625,4,0.55,0.464,0.676,4,0.438,0.386,0.506,4,0.491,0.046,0.415,0.035,0.602,0.071
1020,amazon_google,Random Sample 20,,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.421,0.332,0.575,4,0.486,0.373,0.695,4,0.463,0.422,0.514,4,0.457,0.027,0.376,0.037,0.595,0.075
