# Labeled Examples,al_random_init,al_tl,al_tl_da,al_tl_da_to_ls,al_tl_da_thresh
20,0.209 (0.086),0.345 (0.011),0.341 (0.029),0.345 (0.027),0.359 (0.012)
40,0.298 (0.023),0.210 (0.101),0.288 (0.010),0.259 (0.073),0.293 (0.038)
60,0.308 (0.019),0.102 (0.106),0.315 (0.009),0.283 (0.043),0.177 (0.125)
80,0.328 (0.026),0.293 (0.019),0.315 (0.020),0.285 (0.038),0.253 (0.066)
100,0.323 (0.024),0.229 (0.088),0.333 (0.018),0.278 (0.027),0.277 (0.036)
120,0.318 (0.001),0.240 (0.101),0.313 (0.067),0.268 (0.049),0.292 (0.019)
140,0.316 (0.017),0.268 (0.030),0.287 (0.048),0.276 (0.055),0.294 (0.069)
160,0.320 (0.040),0.293 (0.006),0.289 (0.020),0.292 (0.048),0.271 (0.030)
180,0.313 (0.023),0.301 (0.002),0.302 (0.020),0.293 (0.032),0.281 (0.003)
200,0.308 (0.013),0.299 (0.011),0.309 (0.022),0.315 (0.020),0.298 (0.019)
220,0.307 (0.033),0.320 (0.021),0.315 (0.019),0.309 (0.031),0.289 (0.017)
240,0.318 (0.025),0.320 (0.041),0.305 (0.022),0.346 (0.004),0.286 (0.030)
260,0.291 (0.047),0.290 (0.030),0.303 (0.019),0.281 (0.036),0.246 (0.021)
280,0.306 (0.028),0.324 (0.060),0.314 (0.021),0.318 (0.020),0.324 (0.013)
300,0.324 (0.028),0.301 (0.060),0.315 (0.032),0.310 (0.009),0.296 (0.059)
320,0.320 (0.013),0.329 (0.024),0.344 (0.032),0.311 (0.029),0.292 (0.027)
340,0.291 (0.073),0.332 (0.039),0.323 (0.032),0.326 (0.017),0.268 (0.084)
360,0.327 (0.029),0.322 (0.005),0.337 (0.026),0.356 (0.008),0.301 (0.006)
380,0.328 (0.007),0.338 (0.025),0.346 (0.017),0.334 (0.027),0.302 (0.011)
400,0.357 (0.046),0.351 (0.015),0.349 (0.026),0.355 (0.012),0.290 (0.017)
420,0.349 (0.012),0.349 (0.016),0.331 (0.040),0.365 (0.020),0.315 (0.016)
440,0.359 (0.036),0.363 (0.030),0.351 (0.017),0.339 (0.024),0.333 (0.011)
460,0.352 (0.047),0.352 (0.025),0.358 (0.052),0.363 (0.040),0.317 (0.008)
480,0.352 (0.036),0.348 (0.010),0.383 (0.020),0.372 (0.039),0.295 (0.016)
500,0.360 (0.022),0.375 (0.040),0.355 (0.040),0.390 (0.002),0.353 (0.028)
520,0.339 (0.096),0.355 (0.042),0.393 (0.007),0.380 (0.018),0.354 (0.045)
540,0.367 (0.042),0.388 (0.022),0.356 (0.038),0.405 (0.015),0.379 (0.050)
560,0.410 (0.046),0.388 (0.044),0.371 (0.001),0.413 (0.020),0.354 (0.021)
580,0.406 (0.041),0.340 (0.007),0.426 (0.015),0.422 (0.013),0.349 (0.046)
600,0.394 (0.059),0.373 (0.031),0.400 (0.029),0.439 (0.021),0.383 (0.022)
620,0.395 (0.028),0.365 (0.049),0.372 (0.004),0.413 (0.034),0.367 (0.031)
640,0.386 (0.003),0.426 (0.012),0.425 (0.042),0.434 (0.004),0.363 (0.042)
660,0.412 (0.054),0.400 (0.030),0.402 (0.023),0.437 (0.025),0.391 (0.034)
680,0.410 (0.043),0.399 (0.014),0.425 (0.022),0.447 (0.017),0.375 (0.034)
700,0.399 (0.047),0.414 (0.030),0.444 (0.023),0.418 (0.004),0.400 (0.041)
720,0.392 (0.067),0.394 (0.030),0.451 (0.029),0.435 (0.009),0.398 (0.040)
740,0.444 (0.016),0.455 (0.005),0.436 (0.041),0.462 (0.029),0.392 (0.035)
760,0.413 (0.022),0.443 (0.041),0.464 (0.038),0.451 (0.028),0.406 (0.049)
780,0.430 (0.020),0.421 (0.063),0.449 (0.052),0.449 (0.017),0.410 (0.036)
800,0.424 (0.042),0.430 (0.032),0.460 (0.020),0.428 (0.035),0.454 (0.009)
820,0.432 (0.029),0.449 (0.047),0.452 (0.006),0.458 (0.019),0.398 (0.025)
840,0.456 (0.037),0.420 (0.043),0.449 (0.014),0.459 (0.005),0.431 (0.024)
860,0.486 (0.025),0.478 (0.030),0.452 (0.052),0.452 (0.008),0.427 (0.043)
880,0.476 (0.019),0.478 (0.034),0.492 (0.034),0.472 (0.017),0.446 (0.023)
900,0.471 (0.018),0.446 (0.038),0.474 (0.013),0.463 (0.009),0.458 (0.013)
920,0.467 (0.065),0.471 (0.033),0.446 (0.032),0.487 (0.019),0.456 (0.010)
940,0.482 (0.026),0.435 (0.048),0.469 (0.037),0.485 (0.033),0.432 (0.028)
960,0.444 (0.048),0.494 (0.032),0.500 (0.020),0.476 (0.050),0.451 (0.026)
980,0.445 (0.019),0.471 (0.013),0.478 (0.054),0.474 (0.022),0.452 (0.029)
1000,0.491 (0.046),0.463 (0.016),0.475 (0.021),0.478 (0.029),0.480 (0.010)
1020,0.457 (0.027),0.483 (0.017),0.487 (0.006),0.484 (0.012),0.463 (0.037)
