labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
280,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.497,0.382,0.714,1,[0, 19, 0, 53],0.529,0.388,0.831,3,[229, 5, 0, 47],0.548,0.448,0.704,6,[544, 1, 0, 6],0.525,0.021,0.406,0.03,0.75,0.058
300,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.533,0.446,0.662,4,[389, 6, 0, 13],0.647,0.547,0.794,1,[0, 10, 0, 52],0.615,0.505,0.787,1,[0, 26, 0, 78],0.598,0.048,0.499,0.041,0.748,0.061
320,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.543,0.465,0.653,1,[0, 19, 0, 60],0.564,0.43,0.817,10,[890, 0, 0, 1],0.591,0.499,0.724,7,[753, 0, 1, 1],0.566,0.02,0.465,0.028,0.731,0.067
340,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.568,0.49,0.675,4,[271, 1, 2, 3],0.631,0.527,0.785,1,[0, 32, 0, 127],0.654,0.521,0.88,1,[0, 26, 0, 127],0.618,0.036,0.513,0.016,0.78,0.084
360,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.588,0.602,0.575,1,[0, 20, 0, 78],0.567,0.44,0.795,7,[597, 1, 0, 1],0.588,0.454,0.834,5,[541, 0, 0, 0],0.581,0.01,0.499,0.073,0.735,0.114
380,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.34,0.205,0.993,21,[3117, 5, 12, 16],0.726,0.657,0.81,1,[0, 13, 0, 69],0.645,0.512,0.871,1,[0, 41, 0, 215],0.57,0.166,0.458,0.188,0.891,0.076
400,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.511,0.422,0.648,1,[0, 217, 0, 281],0.506,0.349,0.919,11,[1129, 0, 0, 3],0.64,0.535,0.797,7,[770, 2, 0, 4],0.552,0.062,0.435,0.077,0.788,0.111
420,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.502,0.345,0.926,13,[2196, 10, 6, 34],0.556,0.405,0.888,1,[0, 269, 0, 534],0.741,0.662,0.841,1,[0, 11, 0, 96],0.6,0.102,0.471,0.137,0.885,0.035
440,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.659,0.57,0.782,1,[0, 77, 0, 191],0.586,0.477,0.76,10,[904, 0, 2, 0],0.639,0.51,0.854,13,[1713, 0, 1, 0],0.628,0.031,0.519,0.038,0.799,0.04
460,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.693,0.58,0.863,10,[1251, 2, 4, 7],0.71,0.732,0.689,1,[0, 20, 0, 92],0.767,0.744,0.792,1,[0, 7, 0, 113],0.723,0.032,0.685,0.075,0.781,0.071
