# Labeled Examples,al_random_init,al_tl,al_tl_da,al_tl_da_to_ls,al_tl_da_thresh
20,0.291 (0.022),0.263 (0.017),0.185 (0.117),0.148 (0.111),0.299 (0.027)
40,0.329 (0.053),0.297 (0.017),0.298 (0.050),0.401 (0.022),0.284 (0.028)
60,0.320 (0.054),0.350 (0.047),0.358 (0.065),0.427 (0.035),0.243 (0.051)
80,0.441 (0.087),0.424 (0.056),0.356 (0.088),0.513 (0.008),0.299 (0.110)
100,0.436 (0.068),0.481 (0.065),0.454 (0.065),0.534 (0.008),0.404 (0.049)
120,0.488 (0.114),0.505 (0.078),0.518 (0.036),0.565 (0.018),0.472 (0.053)
140,0.534 (0.052),0.525 (0.056),0.540 (0.070),0.570 (0.018),0.563 (0.040)
160,0.573 (0.064),0.571 (0.022),0.595 (0.023),0.595 (0.025),0.554 (0.017)
180,0.617 (0.034),0.621 (0.002),0.603 (0.008),0.622 (0.022),0.589 (0.038)
200,0.633 (0.024),0.595 (0.016),0.607 (0.025),0.630 (0.045),0.607 (0.014)
220,0.658 (0.035),0.651 (0.025),0.633 (0.017),0.647 (0.022),0.631 (0.011)
240,0.667 (0.008),0.665 (0.041),0.656 (0.034),0.652 (0.009),0.635 (0.000)
260,0.688 (0.020),0.667 (0.032),0.637 (0.021),0.672 (0.014),0.659 (0.038)
280,0.692 (0.018),0.682 (0.018),0.665 (0.018),0.687 (0.025),0.642 (0.025)
300,0.704 (0.025),0.711 (0.008),0.670 (0.015),0.704 (0.023),0.675 (0.027)
320,0.727 (0.008),0.713 (0.012),0.684 (0.023),0.703 (0.036),0.684 (0.018)
340,0.715 (0.017),0.710 (0.018),0.697 (0.024),0.709 (0.011),0.710 (0.028)
360,0.727 (0.011),0.742 (0.013),0.731 (0.005),0.722 (0.011),0.723 (0.001)
380,0.732 (0.012),0.730 (0.003),0.732 (0.012),0.723 (0.022),0.711 (0.025)
400,0.748 (0.013),0.747 (0.004),0.738 (0.019),0.732 (0.001),0.727 (0.025)
420,0.765 (0.023),0.750 (0.014),0.740 (0.017),0.737 (0.018),0.751 (0.022)
440,0.767 (0.029),0.751 (0.007),0.740 (0.017),0.742 (0.009),0.747 (0.019)
460,0.781 (0.011),0.754 (0.020),0.772 (0.012),0.750 (0.024),0.754 (0.017)
480,0.769 (0.017),0.762 (0.013),0.788 (0.010),0.762 (0.021),0.748 (0.017)
500,0.798 (0.015),0.783 (0.014),0.772 (0.014),0.754 (0.020),0.786 (0.009)
520,0.784 (0.023),0.788 (0.015),0.789 (0.005),0.770 (0.025),0.774 (0.004)
540,0.792 (0.020),0.779 (0.012),0.785 (0.007),0.767 (0.014),0.765 (0.023)
560,0.798 (0.014),0.790 (0.014),0.779 (0.008),0.778 (0.016),0.784 (0.015)
580,0.795 (0.003),0.808 (0.013),0.773 (0.014),0.781 (0.027),0.780 (0.044)
600,0.810 (0.005),0.816 (0.009),0.798 (0.017),0.783 (0.003),0.794 (0.016)
620,0.818 (0.010),0.809 (0.013),0.790 (0.033),0.793 (0.012),0.786 (0.026)
640,0.811 (0.020),0.813 (0.013),0.810 (0.006),0.804 (0.011),0.804 (0.016)
660,0.831 (0.025),0.815 (0.010),0.811 (0.033),0.793 (0.015),0.792 (0.005)
680,0.835 (0.011),0.813 (0.005),0.830 (0.011),0.810 (0.002),0.825 (0.011)
700,0.813 (0.020),0.824 (0.017),0.820 (0.004),0.815 (0.006),0.810 (0.032)
720,0.841 (0.008),0.812 (0.009),0.837 (0.007),0.820 (0.007),0.822 (0.007)
740,0.833 (0.018),0.826 (0.006),0.838 (0.010),0.829 (0.012),0.786 (0.030)
760,0.840 (0.007),0.832 (0.010),0.825 (0.019),0.828 (0.009),0.849 (0.010)
780,0.845 (0.008),0.837 (0.003),0.832 (0.014),0.828 (0.006),0.796 (0.027)
800,0.830 (0.012),0.842 (0.007),0.842 (0.011),0.826 (0.016),0.858 (0.016)
820,0.846 (0.008),0.850 (0.004),0.842 (0.023),0.843 (0.001),0.804 (0.013)
840,0.847 (0.023),0.858 (0.003),0.848 (0.013),0.839 (0.017),0.858 (0.017)
860,0.853 (0.004),0.855 (0.006),0.841 (0.008),0.846 (0.015),0.824 (0.023)
880,0.855 (0.013),0.856 (0.008),0.851 (0.008),0.846 (0.007),0.867 (0.019)
900,0.858 (0.013),0.858 (0.017),0.843 (0.005),0.851 (0.011),0.801 (0.007)
920,0.856 (0.016),0.860 (0.009),0.860 (0.031),0.858 (0.013),0.874 (0.010)
940,0.863 (0.010),0.864 (0.012),0.865 (0.008),0.856 (0.012),0.820 (0.005)
960,0.864 (0.019),0.860 (0.002),0.858 (0.008),0.848 (0.024),0.869 (0.009)
980,0.857 (0.014),0.867 (0.005),0.881 (0.003),0.870 (0.008),0.835 (0.010)
1000,0.864 (0.004),0.864 (0.009),0.879 (0.010),0.871 (0.012),0.885 (0.006)
