labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
480,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.75,0.737,0.763,2,0.779,0.75,0.81,2,0.779,0.768,0.791,2,0.769,0.017,0.752,0.016,0.788,0.024
500,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.798,0.814,0.783,2,0.783,0.763,0.804,2,0.812,0.775,0.853,2,0.798,0.015,0.784,0.027,0.813,0.036
520,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.766,0.754,0.778,2,0.777,0.754,0.802,2,0.81,0.824,0.797,2,0.784,0.023,0.777,0.04,0.792,0.013
540,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.791,0.784,0.797,2,0.773,0.762,0.785,2,0.813,0.814,0.812,2,0.792,0.02,0.787,0.026,0.798,0.014
560,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.782,0.745,0.823,2,0.806,0.819,0.793,2,0.805,0.819,0.791,2,0.798,0.014,0.794,0.043,0.802,0.018
580,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.795,0.818,0.774,2,0.797,0.78,0.814,2,0.792,0.786,0.797,2,0.795,0.003,0.795,0.02,0.795,0.02
600,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.814,0.786,0.844,2,0.805,0.797,0.812,2,0.811,0.786,0.838,2,0.81,0.005,0.79,0.006,0.831,0.017
620,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.829,0.896,0.772,2,0.811,0.79,0.834,2,0.814,0.826,0.802,2,0.818,0.01,0.837,0.054,0.803,0.031
640,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.829,0.829,0.829,2,0.789,0.805,0.774,2,0.814,0.808,0.819,2,0.811,0.02,0.814,0.013,0.807,0.029
660,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.812,0.832,0.793,2,0.823,0.775,0.876,2,0.859,0.874,0.844,2,0.831,0.025,0.827,0.05,0.838,0.042
680,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.842,0.848,0.836,2,0.84,0.809,0.874,2,0.822,0.798,0.849,2,0.835,0.011,0.818,0.026,0.853,0.019
700,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.83,0.842,0.819,2,0.817,0.835,0.8,2,0.791,0.812,0.772,2,0.813,0.02,0.83,0.016,0.797,0.024
720,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.842,0.815,0.872,2,0.849,0.858,0.84,2,0.833,0.853,0.814,2,0.841,0.008,0.842,0.024,0.842,0.029
740,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.849,0.835,0.864,2,0.813,0.761,0.874,2,0.838,0.838,0.838,2,0.833,0.018,0.811,0.044,0.859,0.019
760,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.84,0.837,0.842,2,0.846,0.863,0.829,2,0.833,0.827,0.838,2,0.84,0.007,0.842,0.019,0.836,0.007
780,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.844,0.828,0.861,2,0.837,0.849,0.825,2,0.853,0.878,0.829,2,0.845,0.008,0.852,0.025,0.838,0.02
800,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.839,0.846,0.832,2,0.816,0.853,0.783,2,0.835,0.88,0.795,2,0.83,0.012,0.86,0.018,0.803,0.026
820,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.845,0.895,0.8,2,0.838,0.859,0.819,2,0.854,0.88,0.829,2,0.846,0.008,0.878,0.018,0.816,0.015
840,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.87,0.9,0.842,2,0.825,0.825,0.825,2,0.845,0.876,0.817,2,0.847,0.023,0.867,0.038,0.828,0.013
860,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.854,0.852,0.857,2,0.856,0.855,0.857,2,0.849,0.877,0.823,2,0.853,0.004,0.861,0.014,0.846,0.02
880,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.863,0.865,0.861,2,0.84,0.853,0.827,2,0.862,0.878,0.846,2,0.855,0.013,0.865,0.013,0.845,0.017
900,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.848,0.85,0.846,2,0.872,0.862,0.883,2,0.853,0.885,0.823,2,0.858,0.013,0.866,0.018,0.851,0.03
920,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.838,0.837,0.84,2,0.861,0.883,0.84,2,0.868,0.899,0.838,2,0.856,0.016,0.873,0.032,0.839,0.001
940,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.869,0.89,0.849,2,0.852,0.843,0.861,2,0.868,0.88,0.857,2,0.863,0.01,0.871,0.025,0.856,0.006
960,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.886,0.91,0.864,2,0.852,0.874,0.832,2,0.853,0.859,0.846,2,0.864,0.019,0.881,0.026,0.847,0.016
980,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.872,0.902,0.844,2,0.852,0.85,0.855,2,0.846,0.843,0.849,2,0.857,0.014,0.865,0.032,0.849,0.006
1000,dbpedia_dnb,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.865,0.874,0.857,2,0.86,0.868,0.853,2,0.868,0.894,0.844,2,0.864,0.004,0.879,0.014,0.851,0.007
