Dataset,Method,Date,Train Size,F1,Precision,Recall,Runtime,Attr.Summarizer,Attr.Comparator,Embeddings,Epochs,Batch Size,Pos.Neg.Ratio
wdc_phones,Passive Learing,28.05.2021,,0.889,0.8420000000000001,0.941,460.80400000000003,rnn,abs-diff,fasttext.en.bin,20,20,8
wdc_headphones,Passive Learing,28.05.2021,,0.871,0.7859999999999999,0.978,332.6880000000001,rnn,abs-diff,fasttext.en.bin,20,20,5
amazon_google,Passive Learing,28.05.2021,,0.778,0.747,0.8109999999999999,7855.934,hybrid,abs-diff,fasttext.en.bin,20,20,6
abt_buy,Passive Learing,28.05.2021,,0.731,0.716,0.745,771.7560000000002,hybrid,abs-diff,fasttext.en.bin,20,20,6
dbpedia_viaf,Passive Learing,28.05.2021,,0.9520000000000001,0.9420000000000001,0.963,1280.498,rnn,abs-diff,fasttext.en.bin,20,20,5
dbpedia_dnb,Passive Learing,28.05.2021,,0.944,0.924,0.964,563.635,rnn,abs-diff,fasttext.en.bin,20,20,5
