labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
820,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.496,0.586,0.43,1,"[0, 87, 0, 749]",0.464,0.624,0.37,2,"[25, 24, 0, 41]",0.509,0.616,0.433,1,"[0, 94, 0, 471]",0.49,0.019,0.609,0.016,0.411,0.029
840,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.431,0.516,0.37,6,"[637, 0, 22, 0]",0.514,0.6,0.45,2,"[8, 16, 0, 90]",0.483,0.546,0.433,3,"[1, 1, 0, 0]",0.476,0.034,0.554,0.035,0.418,0.034
860,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.489,0.606,0.41,1,"[0, 82, 0, 492]",0.511,0.602,0.443,2,"[55, 15, 1, 62]",0.532,0.665,0.443,1,"[12, 87, 0, 251]",0.511,0.018,0.624,0.029,0.432,0.016
880,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.47,0.544,0.413,6,"[791, 0, 15, 0]",0.509,0.596,0.443,2,"[5, 31, 0, 91]",0.513,0.585,0.457,3,"[144, 2, 0, 9]",0.497,0.019,0.575,0.022,0.438,0.018
900,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.491,0.652,0.393,1,"[0, 113, 0, 542]",0.493,0.669,0.39,1,"[9, 60, 0, 160]",0.502,0.59,0.437,1,"[0, 99, 0, 331]",0.495,0.005,0.637,0.034,0.407,0.021
920,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.444,0.523,0.387,3,"[15, 0, 0, 1]",0.464,0.548,0.403,3,"[4, 0, 0, 4]",0.513,0.543,0.487,4,"[485, 1, 24, 5]",0.474,0.029,0.538,0.011,0.426,0.044
940,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.456,0.612,0.363,1,"[2, 58, 1, 178]",0.477,0.683,0.367,1,"[0, 52, 0, 173]",0.508,0.651,0.417,1,"[0, 103, 0, 279]",0.48,0.021,0.649,0.029,0.382,0.025
960,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.471,0.601,0.387,6,"[1015, 5, 31, 13]",0.475,0.579,0.403,3,"[1, 2, 0, 7]",0.524,0.598,0.467,8,"[1595, 0, 90, 4]",0.49,0.024,0.593,0.01,0.419,0.035
980,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.459,0.665,0.35,1,"[0, 69, 0, 395]",0.524,0.647,0.44,2,"[3, 49, 0, 141]",0.521,0.626,0.447,1,"[0, 102, 0, 700]",0.501,0.03,0.646,0.016,0.412,0.044
1000,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.432,0.496,0.383,3,"[0, 1, 0, 3]",0.488,0.65,0.39,2,"[0, 26, 0, 111]",0.559,0.579,0.54,12,"[2749, 4, 119, 6]",0.493,0.052,0.575,0.063,0.438,0.072
