# Labeled Examples,al_random_init,al_tl,al_tl_da,al_tl_da_to_ls,al_tl_da_thresh
20,0.159 (0.191),0.428 (0.001),0.337 (0.156),0.365 (0.076),0.430 (0.019)
40,0.324 (0.144),0.442 (0.045),0.315 (0.122),0.341 (0.073),0.266 (0.190)
60,0.415 (0.016),0.448 (0.029),0.275 (0.157),0.238 (0.104),0.439 (0.061)
80,0.337 (0.102),0.329 (0.093),0.314 (0.131),0.359 (0.052),0.403 (0.033)
100,0.294 (0.171),0.275 (0.120),0.301 (0.172),0.288 (0.063),0.366 (0.037)
120,0.403 (0.038),0.263 (0.180),0.319 (0.153),0.370 (0.099),0.338 (0.088)
140,0.245 (0.165),0.279 (0.165),0.328 (0.099),0.256 (0.128),0.402 (0.053)
160,0.332 (0.159),0.331 (0.110),0.340 (0.122),0.264 (0.014),0.344 (0.082)
180,0.363 (0.114),0.386 (0.078),0.337 (0.122),0.287 (0.039),0.373 (0.013)
200,0.420 (0.079),0.402 (0.083),0.382 (0.121),0.279 (0.039),0.391 (0.067)
220,0.443 (0.040),0.403 (0.066),0.403 (0.108),0.272 (0.034),0.430 (0.028)
240,0.427 (0.073),0.421 (0.071),0.392 (0.091),0.341 (0.057),0.339 (0.065)
260,0.440 (0.061),0.446 (0.061),0.392 (0.088),0.299 (0.016),0.411 (0.037)
280,0.456 (0.017),0.437 (0.060),0.350 (0.122),0.304 (0.034),0.365 (0.032)
300,0.446 (0.015),0.441 (0.058),0.405 (0.068),0.345 (0.033),0.380 (0.033)
320,0.448 (0.029),0.483 (0.024),0.346 (0.055),0.314 (0.031),0.420 (0.011)
340,0.472 (0.041),0.475 (0.048),0.415 (0.107),0.287 (0.040),0.452 (0.021)
360,0.464 (0.020),0.469 (0.056),0.465 (0.067),0.324 (0.020),0.452 (0.025)
380,0.492 (0.018),0.458 (0.048),0.420 (0.042),0.370 (0.025),0.437 (0.051)
400,0.496 (0.018),0.482 (0.026),0.439 (0.070),0.341 (0.005),0.405 (0.028)
420,0.491 (0.009),0.484 (0.042),0.392 (0.025),0.338 (0.036),0.415 (0.020)
440,0.489 (0.023),0.510 (0.041),0.423 (0.036),0.355 (0.031),0.432 (0.037)
460,0.458 (0.036),0.499 (0.054),0.448 (0.065),0.355 (0.014),0.417 (0.019)
480,0.506 (0.022),0.486 (0.060),0.462 (0.035),0.350 (0.035),0.437 (0.030)
500,0.498 (0.014),0.509 (0.036),0.385 (0.029),0.352 (0.017),0.430 (0.019)
520,0.471 (0.016),0.477 (0.026),0.431 (0.037),0.368 (0.019),0.439 (0.027)
540,0.507 (0.015),0.480 (0.017),0.420 (0.027),0.377 (0.022),0.471 (0.036)
560,0.477 (0.013),0.508 (0.037),0.439 (0.069),0.404 (0.022),0.454 (0.029)
580,0.500 (0.057),0.478 (0.022),0.455 (0.066),0.382 (0.021),0.447 (0.012)
600,0.453 (0.013),0.471 (0.031),0.416 (0.011),0.391 (0.029),0.486 (0.026)
620,0.512 (0.006),0.497 (0.029),0.463 (0.013),0.389 (0.040),0.475 (0.042)
640,0.480 (0.035),0.476 (0.037),0.436 (0.020),0.388 (0.018),0.458 (0.024)
660,0.484 (0.037),0.481 (0.019),0.459 (0.020),0.414 (0.019),0.442 (0.011)
680,0.484 (0.025),0.496 (0.036),0.457 (0.027),0.426 (0.034),0.499 (0.028)
700,0.486 (0.008),0.496 (0.036),0.443 (0.051),0.423 (0.028),0.494 (0.038)
720,0.495 (0.039),0.500 (0.020),0.454 (0.040),0.403 (0.017),0.458 (0.049)
740,0.492 (0.010),0.480 (0.017),0.461 (0.005),0.419 (0.019),0.454 (0.026)
760,0.490 (0.019),0.448 (0.059),0.477 (0.024),0.404 (0.006),0.443 (0.015)
780,0.483 (0.041),0.484 (0.028),0.471 (0.011),0.417 (0.018),0.473 (0.026)
800,0.505 (0.019),0.472 (0.027),0.479 (0.018),0.420 (0.023),0.467 (0.040)
820,0.501 (0.046),0.472 (0.040),0.489 (0.014),0.428 (0.012),0.490 (0.019)
840,0.492 (0.024),0.480 (0.022),0.485 (0.021),0.435 (0.015),0.476 (0.034)
860,0.513 (0.063),0.508 (0.028),0.492 (0.007),0.470 (0.044),0.511 (0.018)
880,0.502 (0.038),0.504 (0.034),0.498 (0.018),0.426 (0.026),0.497 (0.019)
900,0.523 (0.038),0.497 (0.050),0.453 (0.022),0.460 (0.030),0.495 (0.005)
920,0.501 (0.040),0.493 (0.031),0.515 (0.022),0.444 (0.036),0.474 (0.029)
940,0.515 (0.040),0.515 (0.040),0.483 (0.020),0.469 (0.045),0.480 (0.021)
960,0.509 (0.052),0.531 (0.036),0.495 (0.021),0.466 (0.045),0.490 (0.024)
980,0.511 (0.024),0.522 (0.015),0.499 (0.023),0.450 (0.027),0.501 (0.030)
1000,0.540 (0.034),0.522 (0.042),0.514 (0.028),0.470 (0.047),0.493 (0.052)
