labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
380,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.42,0.349,0.529,2,"[10, 3, 0, 7]",0.335,0.265,0.456,2,"[10, 7, 0, 3]",0.424,0.324,0.61,2,"[10, 6, 0, 4]",0.393,0.05,0.313,0.043,0.532,0.077
400,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.39,0.337,0.463,2,"[10, 7, 0, 3]",0.339,0.274,0.444,2,"[10, 8, 0, 2]",0.406,0.3,0.625,2,"[10, 5, 0, 5]",0.378,0.035,0.304,0.032,0.511,0.099
420,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.383,0.324,0.467,2,"[10, 8, 0, 2]",0.367,0.314,0.44,2,"[8, 6, 2, 4]",0.427,0.371,0.502,2,"[10, 6, 0, 4]",0.392,0.031,0.336,0.03,0.47,0.031
440,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.377,0.312,0.479,2,"[10, 5, 0, 5]",0.373,0.272,0.595,2,"[9, 4, 1, 6]",0.423,0.349,0.537,2,"[10, 3, 0, 7]",0.391,0.028,0.311,0.039,0.537,0.058
460,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.377,0.33,0.44,2,"[10, 6, 0, 4]",0.424,0.354,0.529,2,"[10, 8, 0, 2]",0.401,0.343,0.483,2,"[10, 5, 0, 5]",0.401,0.024,0.342,0.012,0.484,0.045
480,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.389,0.342,0.452,2,"[10, 5, 0, 5]",0.377,0.317,0.463,2,"[10, 3, 0, 7]",0.429,0.355,0.541,2,"[8, 9, 2, 1]",0.398,0.027,0.338,0.019,0.485,0.049
500,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.388,0.325,0.479,2,"[10, 3, 0, 7]",0.371,0.326,0.429,2,"[10, 5, 0, 5]",0.444,0.353,0.598,2,"[10, 6, 0, 4]",0.401,0.038,0.335,0.016,0.502,0.087
520,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.444,0.388,0.517,2,"[10, 4, 0, 6]",0.432,0.328,0.633,2,"[9, 4, 1, 6]",0.447,0.367,0.571,2,"[10, 5, 0, 5]",0.441,0.008,0.361,0.03,0.574,0.058
540,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.419,0.352,0.517,2,"[10, 6, 0, 4]",0.459,0.371,0.602,2,"[10, 4, 0, 6]",0.407,0.35,0.486,2,"[10, 8, 0, 2]",0.428,0.027,0.358,0.012,0.535,0.06
560,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.425,0.344,0.556,2,"[10, 5, 0, 5]",0.432,0.323,0.653,2,"[10, 10, 0, 0]",0.419,0.333,0.564,2,"[10, 4, 0, 6]",0.425,0.007,0.333,0.011,0.591,0.054
580,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.433,0.386,0.494,2,"[9, 6, 1, 4]",0.489,0.385,0.672,2,"[10, 10, 0, 0]",0.46,0.382,0.579,2,"[10, 8, 0, 2]",0.461,0.028,0.384,0.002,0.582,0.089
600,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.446,0.371,0.56,2,"[10, 6, 0, 4]",0.425,0.354,0.533,2,"[9, 3, 1, 7]",0.45,0.365,0.587,2,"[10, 5, 0, 5]",0.44,0.013,0.363,0.009,0.56,0.027
620,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.429,0.327,0.625,2,"[10, 3, 0, 7]",0.415,0.35,0.51,2,"[10, 5, 0, 5]",0.429,0.355,0.541,2,"[10, 7, 0, 3]",0.424,0.008,0.344,0.015,0.559,0.06
640,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.437,0.357,0.564,2,"[10, 3, 0, 7]",0.437,0.383,0.51,2,"[8, 4, 2, 6]",0.457,0.392,0.548,2,"[10, 7, 0, 3]",0.444,0.012,0.377,0.018,0.541,0.028
660,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.46,0.382,0.579,2,"[9, 8, 1, 2]",0.424,0.342,0.556,2,"[10, 4, 0, 6]",0.473,0.42,0.541,2,"[9, 4, 1, 6]",0.452,0.025,0.381,0.039,0.559,0.019
680,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.43,0.38,0.494,2,"[10, 8, 0, 2]",0.421,0.323,0.606,2,"[10, 7, 0, 3]",0.492,0.408,0.622,2,"[10, 6, 0, 4]",0.448,0.039,0.37,0.043,0.574,0.07
700,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.467,0.39,0.583,2,"[9, 6, 1, 4]",0.474,0.403,0.575,2,"[10, 6, 0, 4]",0.459,0.396,0.544,2,"[10, 5, 0, 5]",0.467,0.008,0.396,0.007,0.567,0.021
720,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.468,0.371,0.633,2,"[10, 8, 0, 2]",0.45,0.389,0.533,2,"[10, 8, 0, 2]",0.485,0.395,0.629,2,"[10, 9, 0, 1]",0.468,0.018,0.385,0.012,0.598,0.057
740,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.457,0.38,0.571,2,"[10, 2, 0, 8]",0.428,0.389,0.475,2,"[9, 8, 1, 2]",0.468,0.402,0.56,2,"[10, 5, 0, 5]",0.451,0.021,0.39,0.011,0.535,0.053
760,amazon_google,Transfer Learning,abt_buy,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.426,0.357,0.529,2,"[10, 6, 0, 4]",0.46,0.396,0.548,2,"[10, 3, 0, 7]",0.47,0.407,0.556,2,"[10, 4, 0, 6]",0.452,0.023,0.387,0.026,0.544,0.014
