labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
500,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.832,0.825,0.839,2,0.812,0.821,0.802,2,0.87,0.878,0.863,1,0.838,0.029,0.841,0.032,0.835,0.031
520,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.83,0.834,0.826,2,0.854,0.844,0.863,2,0.867,0.89,0.846,1,0.85,0.019,0.856,0.03,0.845,0.019
540,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.837,0.776,0.909,2,0.871,0.851,0.892,2,0.908,0.913,0.904,1,0.872,0.036,0.847,0.069,0.902,0.009
560,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.859,0.827,0.895,2,0.863,0.84,0.887,2,0.868,0.804,0.944,1,0.863,0.005,0.824,0.018,0.909,0.031
580,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.86,0.852,0.868,2,0.853,0.839,0.866,2,0.886,0.903,0.87,1,0.866,0.017,0.865,0.034,0.868,0.002
600,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.865,0.83,0.904,2,0.886,0.867,0.905,2,0.881,0.902,0.861,1,0.877,0.011,0.866,0.036,0.89,0.025
620,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.878,0.865,0.892,2,0.875,0.883,0.868,2,0.89,0.857,0.926,1,0.881,0.008,0.868,0.013,0.895,0.029
640,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.864,0.842,0.887,2,0.887,0.899,0.875,2,0.885,0.9,0.87,1,0.879,0.013,0.88,0.033,0.877,0.009
660,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.886,0.861,0.912,2,0.885,0.885,0.885,2,0.902,0.928,0.876,1,0.891,0.01,0.891,0.034,0.891,0.019
680,dbpedia_viaf,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.869,0.847,0.892,2,0.871,0.849,0.893,2,0.906,0.883,0.931,1,0.882,0.021,0.86,0.02,0.905,0.022
