labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.277,0.161,0.986,1,0.278,0.161,0.992,1,0.278,0.187,0.543,1,0.278,0.001,0.17,0.015,0.84,0.258
40,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.288,0.311,0.267,1,0.27,0.16,0.87,1,0.369,0.27,0.582,2,0.309,0.053,0.247,0.078,0.573,0.302
60,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.14,0.595,0.08,1,0.324,0.199,0.866,1,0.55,0.512,0.594,2,0.338,0.205,0.435,0.209,0.513,0.399
80,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.489,0.521,0.46,1,0.406,0.541,0.325,1,0.374,0.822,0.242,2,0.423,0.059,0.628,0.168,0.342,0.11
100,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.486,0.521,0.455,1,0.389,0.625,0.283,1,0.465,0.331,0.777,2,0.447,0.051,0.492,0.149,0.505,0.251
120,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.515,0.614,0.443,1,0.437,0.782,0.303,1,0.553,0.429,0.778,2,0.502,0.059,0.608,0.177,0.508,0.244
140,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.653,0.655,0.65,1,0.543,0.573,0.516,1,0.597,0.508,0.726,2,0.598,0.055,0.579,0.074,0.631,0.106
160,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.607,0.494,0.787,1,0.57,0.586,0.555,1,0.609,0.508,0.76,2,0.595,0.022,0.529,0.05,0.701,0.127
180,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.665,0.58,0.78,1,0.622,0.562,0.695,1,0.644,0.629,0.658,2,0.644,0.022,0.59,0.035,0.711,0.063
200,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.681,0.589,0.807,1,0.613,0.64,0.587,1,0.647,0.609,0.689,2,0.647,0.034,0.613,0.026,0.694,0.11
