labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,cameras,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.393,0.282,0.647,1,0.421,0.277,0.88,4,0.041,0.163,0.023,1,0.285,0.173,0.241,0.055,0.517,0.362
40,cameras,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.561,0.481,0.673,2,0.49,0.414,0.6,5,0.276,0.222,0.367,2,0.442,0.121,0.372,0.11,0.547,0.13
60,cameras,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.573,0.557,0.59,3,0.523,0.547,0.5,5,0.451,0.452,0.45,3,0.516,0.05,0.519,0.047,0.513,0.058
80,cameras,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.458,0.716,0.337,3,0.569,0.611,0.533,3,0.54,0.462,0.65,3,0.522,0.047,0.596,0.104,0.507,0.129
100,cameras,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.578,0.57,0.587,3,0.559,0.579,0.54,3,0.536,0.427,0.72,3,0.558,0.017,0.525,0.07,0.616,0.076
120,cameras,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.618,0.71,0.547,3,0.568,0.575,0.56,3,0.554,0.435,0.763,3,0.58,0.027,0.573,0.112,0.623,0.099
140,cameras,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.557,0.676,0.473,3,0.581,0.634,0.537,3,0.522,0.471,0.587,3,0.553,0.024,0.594,0.088,0.532,0.047
160,cameras,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.604,0.63,0.58,3,0.517,0.665,0.423,3,0.54,0.443,0.693,3,0.554,0.037,0.579,0.097,0.565,0.111
180,cameras,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.587,0.582,0.593,3,0.527,0.57,0.49,3,0.544,0.453,0.68,3,0.553,0.025,0.535,0.058,0.588,0.078
200,cameras,Random Sample 500,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.601,0.632,0.573,2,0.579,0.592,0.567,3,0.555,0.559,0.55,3,0.578,0.019,0.594,0.03,0.563,0.01
