labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
700,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.805,0.842,0.772,2,0.829,0.822,0.836,2,0.837,0.838,0.836,2,0.824,0.017,0.834,0.011,0.815,0.037
720,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.801,0.816,0.787,2,0.817,0.794,0.84,2,0.817,0.802,0.832,2,0.812,0.009,0.804,0.011,0.82,0.029
740,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.833,0.81,0.857,2,0.821,0.793,0.851,2,0.823,0.824,0.821,2,0.826,0.006,0.809,0.016,0.843,0.019
760,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.822,0.842,0.804,2,0.842,0.887,0.802,2,0.832,0.87,0.797,2,0.832,0.01,0.866,0.023,0.801,0.004
780,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.835,0.839,0.832,2,0.84,0.842,0.838,2,0.837,0.812,0.864,2,0.837,0.003,0.831,0.017,0.845,0.017
800,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.849,0.853,0.844,2,0.84,0.859,0.821,2,0.836,0.82,0.853,2,0.842,0.007,0.844,0.021,0.839,0.017
820,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.845,0.834,0.857,2,0.853,0.861,0.844,2,0.852,0.853,0.851,2,0.85,0.004,0.849,0.014,0.851,0.007
840,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.855,0.873,0.838,2,0.859,0.861,0.857,2,0.86,0.851,0.868,2,0.858,0.003,0.862,0.011,0.854,0.015
860,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.86,0.861,0.859,2,0.857,0.884,0.832,2,0.848,0.844,0.853,2,0.855,0.006,0.863,0.02,0.848,0.014
880,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.862,0.84,0.885,2,0.858,0.881,0.836,2,0.847,0.866,0.829,2,0.856,0.008,0.862,0.021,0.85,0.031
900,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.84,0.856,0.825,2,0.874,0.855,0.893,2,0.86,0.883,0.838,2,0.858,0.017,0.865,0.016,0.852,0.036
920,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.849,0.885,0.817,2,0.866,0.886,0.846,2,0.864,0.853,0.876,2,0.86,0.009,0.875,0.019,0.846,0.03
940,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.864,0.862,0.866,2,0.853,0.851,0.855,2,0.876,0.905,0.849,2,0.864,0.012,0.873,0.029,0.857,0.009
960,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.858,0.894,0.825,2,0.862,0.832,0.896,2,0.86,0.868,0.853,2,0.86,0.002,0.865,0.031,0.858,0.036
980,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.866,0.872,0.859,2,0.863,0.857,0.87,2,0.873,0.879,0.868,2,0.867,0.005,0.869,0.011,0.866,0.006
1000,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.857,0.854,0.859,2,0.874,0.906,0.844,2,0.861,0.863,0.859,2,0.864,0.009,0.874,0.028,0.854,0.009
