labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
440,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.325,0.219,0.627,4,"[10, 10, 0, 0]",0.252,0.228,0.282,4,"[9, 7, 1, 3]",0.266,0.248,0.286,5,"[9, 6, 1, 4]",0.281,0.032,0.232,0.012,0.398,0.162
460,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.32,0.203,0.759,4,"[10, 8, 0, 2]",0.325,0.277,0.391,4,"[10, 8, 0, 2]",0.327,0.216,0.673,5,"[10, 5, 0, 5]",0.324,0.003,0.232,0.032,0.608,0.157
480,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.338,0.261,0.477,4,"[9, 9, 1, 1]",0.21,0.233,0.191,4,"[9, 8, 1, 2]",0.296,0.285,0.309,5,"[10, 7, 0, 3]",0.281,0.053,0.26,0.021,0.326,0.117
500,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.355,0.274,0.505,4,"[9, 6, 1, 4]",0.36,0.254,0.618,4,"[10, 8, 0, 2]",0.379,0.338,0.432,5,"[8, 6, 2, 4]",0.365,0.01,0.289,0.036,0.518,0.077
520,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.311,0.266,0.373,4,"[10, 6, 0, 4]",0.214,0.202,0.227,4,"[10, 8, 0, 2]",0.338,0.374,0.309,5,"[9, 5, 1, 5]",0.288,0.053,0.281,0.071,0.303,0.06
540,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.315,0.275,0.368,4,"[10, 7, 0, 3]",0.392,0.305,0.55,4,"[10, 7, 0, 3]",0.312,0.243,0.436,5,"[10, 6, 0, 4]",0.34,0.037,0.274,0.025,0.451,0.075
560,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.38,0.308,0.495,4,"[9, 4, 1, 6]",0.295,0.182,0.786,4,"[10, 5, 0, 5]",0.352,0.353,0.35,5,"[10, 8, 0, 2]",0.342,0.035,0.281,0.072,0.544,0.181
580,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.341,0.29,0.414,4,"[10, 5, 0, 5]",0.279,0.269,0.291,4,"[10, 6, 0, 4]",0.282,0.262,0.305,5,"[10, 7, 0, 3]",0.301,0.029,0.274,0.012,0.337,0.055
600,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.361,0.282,0.5,4,"[10, 4, 0, 6]",0.347,0.325,0.373,4,"[10, 3, 0, 7]",0.345,0.336,0.355,5,"[10, 8, 0, 2]",0.351,0.007,0.314,0.023,0.409,0.065
620,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.403,0.317,0.555,4,"[9, 3, 1, 7]",0.301,0.265,0.35,4,"[10, 4, 0, 6]",0.317,0.268,0.386,5,"[10, 9, 0, 1]",0.34,0.045,0.283,0.024,0.43,0.089
640,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.394,0.302,0.568,4,"[9, 7, 1, 3]",0.206,0.212,0.2,4,"[10, 4, 0, 6]",0.331,0.335,0.327,5,"[10, 10, 0, 0]",0.31,0.078,0.283,0.052,0.365,0.153
660,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.371,0.275,0.568,4,"[10, 7, 0, 3]",0.246,0.282,0.218,4,"[10, 5, 0, 5]",0.268,0.156,0.982,5,"[10, 7, 0, 3]",0.295,0.054,0.238,0.058,0.589,0.312
680,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.331,0.222,0.645,4,"[9, 5, 1, 5]",0.372,0.287,0.527,4,"[9, 2, 1, 8]",0.311,0.271,0.364,5,"[9, 9, 1, 1]",0.338,0.025,0.26,0.028,0.512,0.115
700,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.269,0.261,0.277,5,"[9, 2, 1, 8]",0.35,0.29,0.441,4,"[10, 5, 0, 5]",0.383,0.354,0.418,5,"[9, 10, 1, 0]",0.334,0.048,0.302,0.039,0.379,0.072
720,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.392,0.31,0.532,5,"[8, 4, 2, 6]",0.357,0.359,0.355,4,"[10, 5, 0, 5]",0.368,0.325,0.423,4,"[9, 10, 1, 0]",0.372,0.015,0.331,0.02,0.437,0.073
740,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.363,0.343,0.386,5,"[8, 7, 2, 3]",0.308,0.258,0.382,4,"[10, 5, 0, 5]",0.313,0.28,0.355,5,"[10, 9, 0, 1]",0.328,0.025,0.294,0.036,0.374,0.014
760,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.424,0.323,0.618,4,"[10, 8, 0, 2]",0.34,0.335,0.345,4,"[10, 6, 0, 4]",0.375,0.325,0.445,5,"[10, 9, 0, 1]",0.38,0.034,0.328,0.005,0.469,0.113
780,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.409,0.311,0.6,4,"[9, 9, 1, 1]",0.319,0.263,0.405,4,"[10, 8, 0, 2]",0.358,0.316,0.414,4,"[9, 7, 1, 3]",0.362,0.037,0.297,0.024,0.473,0.09
800,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.411,0.309,0.614,4,"[10, 7, 0, 3]",0.375,0.386,0.364,4,"[10, 6, 0, 4]",0.387,0.364,0.414,4,"[10, 9, 0, 1]",0.391,0.015,0.353,0.032,0.464,0.108
820,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.408,0.403,0.414,4,"[10, 7, 0, 3]",0.417,0.325,0.582,4,"[10, 4, 0, 6]",0.406,0.335,0.514,4,"[10, 10, 0, 0]",0.41,0.005,0.354,0.035,0.503,0.069
840,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.405,0.314,0.568,4,"[10, 7, 0, 3]",0.392,0.35,0.445,4,"[10, 5, 0, 5]",0.371,0.292,0.509,4,"[10, 9, 0, 1]",0.389,0.014,0.319,0.024,0.507,0.05
860,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.302,0.272,0.341,4,"[10, 7, 0, 3]",0.422,0.402,0.445,4,"[10, 6, 0, 4]",0.376,0.374,0.377,4,"[10, 8, 0, 2]",0.367,0.049,0.349,0.056,0.388,0.043
880,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.36,0.308,0.432,4,"[10, 8, 0, 2]",0.393,0.32,0.509,4,"[10, 6, 0, 4]",0.334,0.306,0.368,4,"[10, 6, 0, 4]",0.362,0.024,0.311,0.006,0.436,0.058
900,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.389,0.413,0.368,4,"[10, 5, 0, 5]",0.405,0.35,0.482,4,"[10, 7, 0, 3]",0.386,0.336,0.455,4,"[8, 8, 2, 2]",0.393,0.008,0.366,0.033,0.435,0.049
920,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.414,0.369,0.473,4,"[10, 4, 0, 6]",0.383,0.295,0.545,4,"[9, 5, 1, 5]",0.31,0.242,0.432,4,"[10, 6, 0, 6]",0.369,0.044,0.302,0.052,0.483,0.047
940,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.443,0.349,0.605,4,"[10, 4, 0, 6]",0.398,0.377,0.423,4,"[10, 1, 0, 9]",0.377,0.329,0.441,4,"[10, 7, 0, 3]",0.406,0.028,0.352,0.02,0.49,0.082
960,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.45,0.438,0.464,4,"[10, 8, 0, 2]",0.425,0.411,0.441,4,"[10, 5, 0, 5]",0.389,0.431,0.355,4,"[10, 4, 0, 6]",0.421,0.025,0.427,0.011,0.42,0.047
980,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.354,0.29,0.455,4,"[10, 2, 0, 8]",0.382,0.337,0.441,4,"[10, 3, 0, 7]",0.386,0.361,0.414,4,"[10, 6, 0, 4]",0.374,0.014,0.329,0.029,0.437,0.017
1000,abt_buy,Transfer Learning,amazon_google,50,20,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.375,0.264,0.645,4,"[10, 1, 0, 9]",0.382,0.323,0.468,4,"[10, 5, 0, 5]",0.367,0.257,0.641,4,"[10, 6, 0, 4]",0.375,0.006,0.281,0.03,0.585,0.083
