labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
2200,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.756,0.841,0.687,2,0.768,0.835,0.71,2,0.769,0.809,0.733,2,0.764,0.006,0.828,0.014,0.71,0.019
2300,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.778,0.812,0.747,2,0.797,0.818,0.777,2,0.761,0.833,0.7,2,0.779,0.015,0.821,0.009,0.741,0.032
2400,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.752,0.837,0.683,2,0.776,0.838,0.723,2,0.763,0.807,0.723,2,0.764,0.01,0.827,0.014,0.71,0.019
2500,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.785,0.819,0.753,2,0.773,0.849,0.71,2,0.791,0.836,0.75,2,0.783,0.007,0.835,0.012,0.738,0.02
2600,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.805,0.86,0.757,2,0.77,0.851,0.703,2,0.789,0.844,0.74,2,0.788,0.014,0.852,0.007,0.733,0.023
2700,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.807,0.869,0.753,2,0.794,0.86,0.737,2,0.795,0.822,0.77,2,0.799,0.006,0.85,0.02,0.753,0.013
2800,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.824,0.885,0.77,2,0.811,0.882,0.75,2,0.81,0.85,0.773,2,0.815,0.006,0.872,0.016,0.764,0.01
2900,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.824,0.854,0.797,2,0.804,0.891,0.733,2,0.799,0.831,0.77,2,0.809,0.011,0.859,0.025,0.767,0.026
3000,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.852,0.891,0.817,2,0.826,0.874,0.783,2,0.816,0.841,0.793,2,0.831,0.015,0.869,0.021,0.798,0.014
3100,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.842,0.88,0.807,2,0.807,0.881,0.743,2,0.826,0.865,0.79,2,0.825,0.014,0.875,0.007,0.78,0.027
3200,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.851,0.888,0.817,2,0.827,0.88,0.78,2,0.828,0.857,0.8,2,0.835,0.011,0.875,0.013,0.799,0.015
3300,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.854,0.883,0.827,2,0.834,0.856,0.813,2,0.848,0.905,0.797,2,0.845,0.008,0.881,0.02,0.812,0.012
3400,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.86,0.884,0.837,2,0.842,0.861,0.823,2,0.836,0.859,0.813,2,0.846,0.01,0.868,0.011,0.824,0.01
3500,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.879,0.911,0.85,2,0.852,0.871,0.833,2,0.848,0.893,0.807,2,0.86,0.014,0.892,0.016,0.83,0.018
3600,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.872,0.895,0.85,2,0.86,0.87,0.85,2,0.866,0.891,0.843,2,0.866,0.005,0.885,0.011,0.848,0.003
3700,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.88,0.891,0.87,2,0.854,0.872,0.837,2,0.866,0.905,0.83,2,0.867,0.011,0.889,0.014,0.846,0.017
3800,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.882,0.908,0.857,2,0.858,0.883,0.833,2,0.87,0.909,0.833,2,0.87,0.01,0.9,0.012,0.841,0.011
3900,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.882,0.908,0.857,2,0.859,0.898,0.823,2,0.875,0.916,0.837,2,0.872,0.01,0.907,0.007,0.839,0.014
4000,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.894,0.916,0.873,2,0.86,0.895,0.827,2,0.885,0.915,0.857,2,0.88,0.014,0.909,0.01,0.852,0.019
